Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
169,Devonte' Graham,PG,27,SAS,19,7,26.3,3.8,10.1,0.38,2.7,7.5,0.357,1.2,2.6,0.449,0.513,2.8,3.7,0.757,0.4,2.2,2.6,4.1,0.7,0.3,1.3,1.5,13.2
170,Jerami Grant,PF,28,POR,63,63,35.7,6.9,14.5,0.475,2.3,5.7,0.401,4.6,8.8,0.523,0.554,4.4,5.4,0.813,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5
171,A.J. Green,SG,23,MIL,33,0,9.7,1.5,3.5,0.44,1.3,2.9,0.433,0.3,0.6,0.474,0.621,0.1,0.1,1,0.2,1,1.2,0.6,0.2,0,0.3,0.9,4.5
172,Danny Green,SG,35,TOT,9,0,9.8,1,2.6,0.391,0.9,2,0.444,0.1,0.6,0.2,0.565,0.1,0.1,1,0.2,0.6,0.8,0.2,0.3,0.1,0.7,1.1,3
172,Danny Green,SG,35,MEM,3,0,14.3,1,3.7,0.273,1,2.7,0.375,0,1,0,0.409,0,0,,0.3,1,1.3,0.7,0.3,0,1,2,3
172,Danny Green,SG,35,CLE,6,0,7.5,1,2,0.5,0.8,1.7,0.5,0.2,0.3,0.5,0.708,0.2,0.2,1,0.2,0.3,0.5,0,0.3,0.2,0.5,0.7,3
173,Draymond Green,PF,32,GSW,70,70,31.6,3.4,6.5,0.525,0.5,1.8,0.306,2.9,4.7,0.608,0.567,1,1.5,0.709,0.9,6.4,7.3,6.9,1,0.8,2.8,3.2,8.4
174,Jalen Green,SG,20,HOU,73,73,34.2,7.4,17.8,0.416,2.5,7.3,0.335,4.9,10.5,0.473,0.485,4.8,6.1,0.786,0.6,3.2,3.7,3.7,0.8,0.2,2.7,1.8,22.1
175,JaMychal Green,PF,32,GSW,56,1,14,2.4,4.5,0.54,0.8,2,0.382,1.7,2.5,0.664,0.624,0.9,1.2,0.776,1.3,2.4,3.6,0.9,0.4,0.4,0.9,1.9,6.5
176,Javonte Green,SG,29,CHI,31,1,15.1,2,3.4,0.575,0.4,1.1,0.382,1.5,2.3,0.667,0.637,0.9,1.4,0.674,0.9,1.9,2.7,0.7,0.7,0.7,0.6,1.7,5.3
177,Jeff Green,PF,36,DEN,53,4,19.6,2.9,5.9,0.492,0.5,1.8,0.284,2.4,4.1,0.583,0.535,1.5,2,0.743,0.7,1.9,2.6,1.2,0.3,0.3,0.8,1.8,7.8
178,Josh Green,SG,22,DAL,59,21,25.6,3.4,6.4,0.533,1.1,2.8,0.398,2.3,3.6,0.64,0.621,1.2,1.6,0.723,0.9,2,2.9,1.7,0.7,0.1,1.2,2.6,9.1
179,AJ Griffin,SF,19,ATL,69,11,19.2,3.4,7.3,0.466,1.4,3.6,0.386,2,3.7,0.543,0.561,0.6,0.6,0.905,0.5,1.6,2.1,1,0.6,0.2,0.6,1.2,8.7
180,Blake Griffin,C,33,BOS,37,15,14.1,1.6,3.4,0.484,0.6,1.6,0.344,1.1,1.7,0.619,0.569,0.6,0.9,0.656,1.1,2.6,3.8,1.4,0.4,0.2,0.5,1.9,4.4
181,Quentin Grimes,SG,22,NYK,68,63,29.6,3.8,8.2,0.459,2.1,5.5,0.381,1.6,2.6,0.622,0.588,1.1,1.4,0.796,0.7,2.6,3.2,2.1,0.6,0.4,1,2.5,10.7
182,Rui Hachimura,PF,24,TOT,59,9,23.4,4.5,9.3,0.487,0.8,2.5,0.331,3.7,6.7,0.545,0.532,1.4,1.9,0.739,0.8,3.7,4.5,0.9,0.3,0.4,0.9,1.2,11.2
182,Rui Hachimura,PF,24,WAS,30,0,24.3,5.3,10.8,0.488,1,3,0.337,4.3,7.8,0.545,0.534,1.5,1.9,0.759,0.6,3.6,4.3,1.2,0.4,0.4,1.2,1.3,13
182,Rui Hachimura,PF,24,LAL,29,9,22.4,3.7,7.7,0.486,0.7,2,0.322,3.1,5.6,0.546,0.529,1.3,1.8,0.717,1,3.7,4.7,0.6,0.3,0.4,0.6,1,9.4
183,Tyrese Haliburton,PG,22,IND,56,56,33.6,7.4,15,0.49,2.9,7.2,0.4,4.5,7.8,0.572,0.586,3.1,3.6,0.871,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,20.7
184,Jordan Hall,SF,21,SAS,9,0,9.2,1,3.1,0.321,0.3,1.7,0.2,0.7,1.4,0.462,0.375,0.8,1,0.778,0.3,1,1.3,1.2,0.1,0,0.8,0.7,3.1
185,R.J. Hampton,PG,21,TOT,43,1,15.5,2,4.8,0.422,0.8,2.4,0.353,1.2,2.4,0.49,0.51,1.2,1.7,0.736,0.4,1.3,1.7,1.2,0.6,0.1,0.9,1,6.1
185,R.J. Hampton,PG,21,ORL,26,0,13.9,1.9,4.4,0.439,0.7,2,0.34,1.2,2.3,0.525,0.518,1.2,1.4,0.838,0.3,1.2,1.5,1.3,0.6,0.2,0.8,0.8,5.7
185,R.J. Hampton,PG,21,DET,17,1,17.9,2.2,5.4,0.402,1.1,2.9,0.367,1.1,2.5,0.442,0.5,1.3,2.1,0.629,0.4,1.6,2,0.9,0.6,0.1,1.1,1.3,6.7
186,Tim Hardaway Jr.,SG,30,DAL,70,44,30.2,4.7,11.9,0.399,3,7.7,0.382,1.8,4.2,0.43,0.523,1.8,2.3,0.765,0.3,3.2,3.5,1.8,0.7,0.2,0.9,1.7,14.2
187,James Harden,PG,33,PHI,56,56,36.9,6.4,14.5,0.442,2.8,7.2,0.385,3.6,7.3,0.498,0.537,5.5,6.4,0.866,0.7,5.4,6.2,10.8,1.3,0.5,3.4,2,21.1
188,Jaden Hardy,SG,20,DAL,45,3,14.4,2.9,6.6,0.438,1.3,3.1,0.418,1.6,3.5,0.455,0.537,1.4,1.7,0.818,0.2,1.6,1.8,1.3,0.4,0.1,1,1.4,8.5
189,Ron Harper Jr.,SF,22,TOR,6,0,3,0.7,1.3,0.5,0.3,0.8,0.4,0.3,0.5,0.667,0.625,0,0,,0.3,0.2,0.5,0,0,0,0,0,1.7
