Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Column1,OWS,DWS,WS,WS/48,2,OBPM,DBPM,BPM,VORP
351,Andrew Nembhard,SG,23,IND,72,1974,9.7,0.526,0.423,0.087,1.9,8.8,5.3,21.6,1.6,0.6,15.5,15.9,,0.3,0.9,1.1,0.028,,-2.5,-0.7,-3.2,-0.6
488,Jabari Walker,SF,20,POR,52,530,9.9,0.491,0.276,0.227,9.3,15.5,12.4,8,0.8,2,10.9,16.6,,0,0.3,0.3,0.028,,-3.5,-1.8,-5.3,-0.4
522,Justise Winslow,SF,26,POR,29,776,9.3,0.466,0.227,0.141,7.3,14.3,10.8,17.3,1.9,1.3,17,14.2,,-0.1,0.6,0.4,0.026,,-3.5,0.7,-2.8,-0.2
146,Malachi Flynn,PG,24,TOR,50,645,8.1,0.467,0.573,0.129,2.5,10.6,6.2,13.5,1.5,0.6,8.8,17.2,,-0.1,0.5,0.3,0.026,,-3.4,-0.9,-4.3,-0.4
36,Malik Beasley,SG,26,TOT,77,2006,10.7,0.527,0.702,0.062,1.8,12.7,7.3,8.4,1.5,0.3,8.8,21.3,,-0.4,1.5,1.1,0.026,,-1.1,-1.1,-2.2,-0.1
37,MarJon Beauchamp,SF,22,MIL,48,614,8.3,0.514,0.581,0.152,6.4,10.7,8.6,5.9,1.5,0.7,14.7,18.6,,-0.4,0.7,0.3,0.026,,-4.1,-0.5,-4.6,-0.4
270,Furkan Korkmaz,SG,25,PHI,34,297,9.8,0.556,0.402,0.37,2.4,10.6,6.6,9.6,1.2,0.9,15.8,19.1,,-0.1,0.3,0.2,0.025,,-2.9,-1.2,-4.1,-0.1
233,Justin Jackson,SF,27,BOS,23,107,6.3,0.359,0.741,0.074,2.1,15.1,8.7,10.5,1.8,3.2,6.7,12.2,,-0.1,0.2,0.1,0.024,,-4.2,1.5,-2.7,0
501,Russell Westbrook,PG,34,LAL,52,1491,15.3,0.496,0.292,0.326,4.4,18.2,11.5,38.7,1.7,1.3,18.1,28.8,,-1.2,1.9,0.7,0.023,,-0.2,0.1,-0.1,0.7
151,Evan Fournier,SG,30,NYK,24,421,7.7,0.487,0.678,0.138,1,11.2,6.1,11.4,1.6,0.7,11.5,18.6,,-0.2,0.4,0.2,0.023,,-3.5,0.1,-3.4,-0.1
131,Goran Dragić,PG,36,TOT,55,809,10.2,0.512,0.434,0.133,1.9,8,5,24.7,0.8,0.5,15.1,21,,-0.3,0.6,0.4,0.023,,-2.1,-1.6,-3.7,-0.3
131,Goran Dragić,PG,36,CHI,51,787,10.2,0.514,0.428,0.137,1.9,8,5,24.7,0.7,0.5,15,20.9,,-0.2,0.6,0.4,0.023,,-2,-1.6,-3.7,-0.3
394,Payton Pritchard,PG,25,BOS,46,573,8.5,0.503,0.619,0.071,4.3,9,6.7,11.6,1.2,0.2,12.9,18.9,,-0.3,0.6,0.3,0.022,,-3.3,-1.1,-4.4,-0.3
391,Jason Preston,PG,23,LAC,13,122,10.4,0.489,0.439,0.049,1.9,18.2,10.1,31.7,0.8,0,19.3,18.6,,0,0.1,0.1,0.022,,-2.1,-0.5,-2.5,0
460,Terry Taylor,PF,23,IND,26,228,8.8,0.507,0.277,0.108,10.7,8.3,9.5,5.9,0.6,1.9,11.7,14.2,,0,0.1,0.1,0.022,,-3.4,-1.9,-5.3,-0.2
212,Justin Holiday,SG,33,DAL,16,246,7.3,0.507,0.763,0.119,0.9,10.6,5.7,7.2,2.2,2.9,12.7,13.1,,-0.2,0.3,0.1,0.021,,-4.2,0.7,-3.4,-0.1
491,John Wall,PG,32,LAC,34,755,13.7,0.498,0.322,0.334,2.1,11.5,6.8,35.6,1.8,1.4,17.1,27.1,,-0.4,0.8,0.3,0.021,,-0.8,-0.4,-1.2,0.1
115,Matthew Dellavedova,PG,32,SAC,32,213,6.7,0.443,0.54,0.14,0.5,6.4,3.5,23.4,1.6,0,15.9,12.7,,0,0.1,0.1,0.021,,-4.4,-0.8,-5.2,-0.2
267,Kevin Knox,SF,23,POR,17,241,11.6,0.516,0.443,0.113,5.2,18.2,11.7,8.2,1.6,0,8.9,20.2,,0,0.2,0.1,0.021,,-2.6,-1.8,-4.3,-0.1
